members,description
มาร์ค,เป็นสมาชิกของ nct dream 
มาร์ค,เป็นสมาชิกของ nct 127
มาร์ค,เป็นสมาชิกของ nct u
มาร์ค,เป็นสมาชิกของ nct 
มาร์ค,เป็นลีดเดอร์ของ nct dream
มาร์ค,เป็นแร็ปเปอร์ ไอดอล นักร้อง-นักแต่งเพลงชาวเกาหลี
มาร์ค,เกิดวันที่ 2 สิงหาคม 1999
มาร์ค,"เดบิวต์วันที่ 9 เมษายน 2016 กับ nct u ด้วยซิงเกิ้ลแรก ""The 7th Sense"""
มาร์ค,ผ่านการออดิชั่น “SM Global Audition” ที่แวนคูเวอร์ ประเทศแคนาดา
มาร์ค,ชื่อจริง :  มาร์ค ลี  (Mark Lee)
มาร์ค,ชื่อเกาหลี : อี มินฮยอง (Lee Min Hyung) (이민형)
มาร์ค,บ้านเกิด : แวนคูเวอร์  ประเทศแคนาดา
มาร์ค,สัญชาติ : เกาหลีใต้-แคนาดา
มาร์ค,การศึกษา : จบจาก School of Performing Arts high school (SOPA)
มาร์ค,วงดนตรีที่ชอบคือ Coldpaly
มาร์ค,มี solo ซิงเกิลเพลงแรกคือ Child
มาร์ค,Watermelon Lover
เหรินจวิ้น,เป็นสมาชิกของ nct dream 
เหรินจวิ้น,บ้านเกิด : มณฑลจี๋หลิน ประเทศจีน
เหรินจวิ้น,เกิดวันที่ 23 มีนาคม 2000 
เหรินจวิ้น,การ์ตูนที่ชอบ : มูมิน
เหรินจวิ้น,"อาหารที่ชอบ : หม้อไฟ ,ไก่, หม่าล่าทัง"
เหรินจวิ้น,ผักที่ไม่ชอบกิน : ผักชี
เหรินจวิ้น,มีปานดำที่หลังมือขวา
เหรินจวิ้น,เป็นสมาชิกของ nct 
เหรินจวิ้น,เป็นสมาชิกของ nct u
เหรินจวิ้น,ผ่านการออดิชั่นกับทาง SM Global Audition  ที่เมืองเสิ่นหยาง
เหรินจวิ้น,เข้าบริษัท SM ในปี 2015
เหรินจวิ้น,ชื่อเกาหลี: ฮวังอินจุน
เหรินจวิ้น,ชื่อภาษาจีน: หวงเหรินจวิ้น 
เหรินจวิ้น,ชอบวาดรูป
เหรินจวิ้น,ชอบ Ariana Grande
เหรินจวิ้น,"เดบิวต์วันที่ 25 สิงหาคม 2016 กับ nct dream ด้วยซิงเกิ้ลแรก ""Chewing Gum"""
เหรินจวิ้น,ตำแหน่ง : นักร้องหลัก
เจโน่,เป็นสมาชิกของ nct dream 
เจโน่,"เดบิวต์วันที่ 25 สิงหาคม 2016 กับ nct dream ด้วยซิงเกิ้ลแรก ""Chewing Gum"""
เจโน่,ชื่อจริง : Lee Je No (이제노) (อี เจโน่)
เจโน่,"ตำแหน่ง : นักเต้นนำ, แร็ปเปอร์นำ, นักร้องเสริม และภาพลักษณ์ของวง"
เจโน่,เกิดวันที่ 23 เมษายน 2000
เจโน่,เกิดที่อินชอน เกาหลีใต้
เจโน่,เคยศึกษาที่ Seoul School of Performing Arts (SOPA)
เจโน่,ใช้เพลง ‘Beautiful’ ของ SHINEE ในการออดิชั่นและเข้าเป็นเด็กฝึกของ SM Entertainment เมื่อปี 2013
เจโน่,"เดบิวต์วันที่ 25 สิงหาคม 2016 กับ nct dream ด้วยซิงเกิ้ลแรก ""Chewing Gum"""
เจโน่,"เมนูโปรดของเจโน่คือ นมช็อคโกแลต, โดนัทเคลือบ, แตงโม, ราเมน, ไก่ทอด, 
แฮมเบอร์เกอร์, ไอศกรีม, ดาร์กช็อกโกแลต, ซุปซีฟู้ด, จัมปง และอาหารที่มีรสชาติเปรี้ยว"
เจโน่,แพ้ขนแมว
เจโน่,เคยปรากฏตัวในเว็บดราม่าเรื่อง A-teen (2018) ร่วมกับแจมิน
เจโน่,เริ่มต้นอาชีพในฐานะนายแบบโฆษณาสำหรับเด็ก
เจโน่,เป็นสมาชิกของ nct 
เจโน่,ตาสระอิ
เจโน่,โฆษณานม
เจโน่,"น้องคนโปรด ของ ""โดยอง"" สมาชิก ""NCT 127"""
เจโน่,เป็นสมาชิกของ nct u
แฮชาน,เป็นสมาชิกของ nct dream 
แฮชาน,เป็นสมาชิกของ nct 
แฮชาน,เป็นสมาชิกของ nct 127
แฮชาน,เป็นสมาชิกของ nct u
แฮชาน,"เดบิวต์วันที่ 7 กรกฎาคม 2016 กับ nct 127 ด้วยซิงเกิ้ลแรก ""Fire Truck"""
แฮชาน,ชื่อจริง : Lee Dong Hyuck (이동혁) (อี ดงฮยอก)
แฮชาน,ตำแหน่ง : นักร้องนำ
แฮชาน,เกิดวันที่ 6 มิถุนายน 2000
แฮชาน,เกิดที่โซล เกาหลีใต้
แฮชาน,"ย้ายไปยังเจจูตั้งแต่อายุ 7 ขวบจนถึง 12 ขวบ และกลับเข้ามาอยู่ในโซล
หลังจากเข้าร่วมเป็นเด็กฝึกกับ SM Entertainmet"
แฮชาน,เคยศึกษาที่ Seoul School of Performing Arts (SOPA)
แฮชาน,ชอบไมเคิล แจ็คสัน
แฮชาน,เป็นคนที่มีติดสกินชิพ
แฮชาน,ผลไม้ที่ชอบคือ พีชและมะม่วง
แฮชาน,ชอบเล่นฟุตบอล
แฮชาน,งานอดิเรกคือ สะสมแผ่นเสียงและน้ำหอม
แฮชาน,อาหารที่ชอบคือ ซุปกิมจิหมู
แฮชาน,ฟูลซัน
แจมิน,เป็นสมาชิกของ nct dream 
แจมิน,เป็นสมาชิกของ nct 
แจมิน,เป็นสมาชิกของ nct u
แจมิน,"เดบิวต์วันที่ 25 สิงหาคม 2016 กับ nct dream ด้วยซิงเกิ้ลแรก ""Chewing Gum"""
แจมิน,เกิดวันที่ 13 สิงหาคม 2000
แจมิน,ชื่อจริง : Na Jae Min (나재민) (นา แจมิน)
แจมิน,"ตำแหน่ง : นักเต้นนำ, แร็ปเปอร์เสริม, นักร้องเสริม และภาพลักษณ์ของวง"
แจมิน,เกิดที่โซล เกาหลีใต้
แจมิน,เคยศึกษาที่ Cheongil Elementary School และ School of Performing Arts Seoul (SOPA)
แจมิน,เคยมีความฝันอยากเป็นหมอ
แจมิน,"อาหารที่ชอบคือ ราเมน, พิซซ่ามันฝรั่ง, ฟาสต์ฟู้ด, เยลลี่, ช็อคโกแลต, 
ลูกพีช, นมช็อคโกแลต, ชาเขียว, ต็อกปกกีน้ำผึ้ง และไก่ทอด"
แจมิน,ภาพยนตร์เรื่องโปรดคือไอรอนแมน
แจมิน,ชอบกินผักชี ไม่กินสตอเบอร์รี่
แจมิน,แฟนเจโน่
แจมิน,ทำอาหารเก่ง
แจมิน,ในช่วงต้นปี 2017 เคยพักการทำกิจกรรมร่วมกับวงเนื่องจากปัญหาสุขภาพ
แจมิน,เคยปรากฏตัวในเว็บดราม่าเรื่อง A-teen (2018) ร่วมกับเจโน่
แจมิน,เป็นนักแสดงหลักในดราม่าเว็บตูน The Way I Hate You (2019)
แจมิน,เครื่องดื่มที่ชอบที่สุดคือกาแฟ 
แจมิน,ชอบถ่ายรูป
แจมิน,ชอบทำงานอาสาสมัคร
เฉินเล่อ,เป็นสมาชิกของ nct dream 
เฉินเล่อ,เป็นสมาชิกของ nct 
เฉินเล่อ,เป็นสมาชิกของ nct u
เฉินเล่อ,"เดบิวต์วันที่ 25 สิงหาคม 2016 กับ nct dream ด้วยซิงเกิ้ลแรก ""Chewing Gum"""
เฉินเล่อ,ชื่อจริง : Zhong Chenle (钟辰乐 / 鍾辰樂) (จง เฉินเล่อ)
เฉินเล่อ,ตำแหน่ง : นักร้องหลัก
เฉินเล่อ,เกิดวันที่ 22 พฤศจิกายน 2001
เฉินเล่อ,เกิดที่เซี่ยงไฮ้ สาธารณรัฐประชาชนจีน
เฉินเล่อ,เคยศึกษาที่ Beijing Contemporary Music School
เฉินเล่อ,เป็นนักร้องอายุน้อยที่สุดที่ถูกรับเชิญให้ไปแสดงผลงานเพลง ‘Memory’ ที่ Golden Hall
เฉินเล่อ,"เคยเป็นนักแสดงรับเชิญในซีรีส์จีน The Queen Of Sop 2 (2013), 
ภาพยนตร์สั้น A Candy for Mother และภาพยนตร์ Inner Voice"
เฉินเล่อ,งานอดิเรกคือการทำอาหาร เล่นฟุตบอล ปิงปอง และทุกอย่างที่เกี่ยวกับเพลง
เฉินเล่อ,เมนูโปรดคือกิมจิ เมนูไข่ และช็อกโกแลต
เฉินเล่อ,"แพ้อาหารทะเล, Ethanol Pollen, และขนแมว"
เฉินเล่อ,ไม่ชอบกินวาซาบิ
เฉินเล่อ,มีขี้แมงวันที่หูทั้งสองข้าง
เฉินเล่อ,อยากเป็นนักบาสเก็ตบอล
เฉินเล่อ,ชอบ Stephen Curry
เฉินเล่อ,กลัวแมงมุม
จีซอง,เป็นสมาชิกของ nct dream 
จีซอง,เป็นสมาชิกของ nct 
จีซอง,เป็นสมาชิกของ nct u
จีซอง,"เดบิวต์วันที่ 25 สิงหาคม 2016 กับ nct dream ด้วยซิงเกิ้ลแรก ""Chewing Gum"""
จีซอง,ชื่อจริง : Park Ji Sung (박지성) (พัค จีซอง)
จีซอง,"ตำแหน่ง : นักเต้นหลัก , นักร้องเสริม , แร็ปเปอร์เสริม และน้องเล็กของวง"
จีซอง,เกิดวันที่ 5 กุมภาพันธ์ 2002
จีซอง,เกิดที่โซล เกาหลีใต้ และเคยใช้ชีวิตอยู่ที่ปูซานประมาณ 4 ปี
จีซอง,เคยศึกษาที่ Mia Elementary School
จีซอง,ความสามารถพิเศษคือการเต้น Popping และ Locking 
จีซอง,กีฬาที่ชอบที่สุดคือฟุตบอล
จีซอง,เคยเข้าร่วมแข่งขันในรายการ Dancing High เมื่อปี 2018
จีซอง,ชอบอาหารทุกชนิดที่ทำจากไก่
จีซอง,ชอบทานไอศกรีมทุกชนิด
จีซอง,ไม่ชอบเทียนหอม
จีซอง,ไม่ชอบทานหอยนางรม 
แทยง,เป็นสมาชิกของ nct127
แทยง,เป็นสมาชิกของ nct u
แทยง,เป็นสมาชิกของ nct 
แทยง,เป็นลีดเดอร์ของ nct 127
แทยง,ชื่อจริง : Lee Tae Yong (이태용) (อี แทยง)
แทยง,เกิดวันที่ 1 กรกฎาคม 1995
แทยง,"ตำแหน่ง : หัวหน้าวง , แร็ปเปอร์หลัก , นักเต้นหลัก , ภาพลักษณ์วง , เซ็นเตอร์"
แทยง,เกิดที่กรุงโซล
แทยง,เรียนที่ School of Performing Arts Seoul
แทยง,ชอบกินเมล่อน สตรอวเบอร์รี่ มาการอง และไอศกรีมชาเขียว
แทยง,ชอบสีชมพู
แทยง,ชอบ Drake
แทยง,"เดบิวต์วันที่ 9 เมษายน 2016 กับ nct u ด้วยซิงเกิ้ลแรก ""The 7th Sense"""
แทยง,ปล่อยซิงเกิ้ลเดี่ยวชุดแรกที่มีชื่อว่า “Long Flight” ออกมาในปี 2019
แทยง,ชอบวาดรูป
แทยง,ได้รับการคัดเลือกจากแมวมองของ SM Entertainment เมื่อปี 2012
แทยง,เข้ามาเป็นเด็กฝึกในค่ายหลังจากผ่านการออดิชั่นด้วยการร้องเพลงชาติเกาหลีใต้
แทยง,"อาหารที่ชอบ: บิบิมบับ, สเต็ก, กิมจิ"
แทยง,อาหารที่ไม่ชอบ: อาหารเผ็ดมากๆ และของขม
แทยง,เป็นสมาชิก NCT คนแรกที่มีเพลงโซโล่ใน SM STATION
จอห์นนี่,เป็นสมาชิกของ nct127
จอห์นนี่,เป็นสมาชิกของ nct u
จอห์นนี่,เป็นสมาชิกของ nct 
จอห์นนี่,ชื่อจริง (เกาหลี) : Seo Young Ho (서영호) (ซอ ยองโฮ)
จอห์นนี่,เกิดวันที่ 9 กุมภาพันธ์ 1995
จอห์นนี่,เกิดที่ชิคาโก สหรัฐอเมริกา
จอห์นนี่,"ตำแหน่ง : นักเต้นนำ , นักร้องเสริม , แร็ปเปอร์เสริม"
จอห์นนี่,เข้าร่วมเป็นเด็กฝึกผ่านการออดิชั่น SM Global Audition in Chicago เมื่อปี 2007
จอห์นนี่,"เดบิวต์วันที่ 7 กรกฎาคม 2016 กับ nct 127 ด้วยซิงเกิ้ลแรก ""Fire Truck"""
จอห์นนี่,ศิลปินโปรดคือ Coldplay
จอห์นนี่,เป็น DJ
จอห์นนี่,"อาหารที่ชอบ: พิซซ่า, เบอร์เกอร์, สเต็ก"
จอห์นนี่,"อาหารเกาหลีที่ชอบ: ซัมกยอบซัล (หมูย่างเกาหลี), รามยอน"
จอห์นนี่,เครื่องดื่มที่ชอบ: กาแฟ
ยูตะ,เป็นสมาชิกของ nct127
ยูตะ,เป็นสมาชิกของ nct u
ยูตะ,เป็นสมาชิกของ nct 
ยูตะ,"เดบิวต์วันที่ 7 กรกฎาคม 2016 กับ nct 127 ด้วยซิงเกิ้ลแรก ""Fire Truck"""
ยูตะ,ชื่อจริง : Nakamoto Yuta (中本悠太) (นากาโมโตะ ยูตะ)
ยูตะ,เกิดวันที่ 26 ตุลาคม 1995
ยูตะ,"ตำแหน่ง : นักเต้นนำ , นักร้องเสริม , แร็ปเปอร์เสริม"
ยูตะ,เกิดที่โอซากา ประเทศญี่ปุ่น 
ยูตะ,ความสามารถพิเศษคือการเต้น และกีฬาฟุตบอล
ยูตะ,"มีเมนูโปรดหลายอย่าง เช่น แตงโม , ทาโกะยากิ , ต็อกโบกี , ข้าวผัดปู และเค้กชาเขียว"
ยูตะ,ศิลปินวงโปรดคือ One Ok Rock
ยูตะ,ปีที่เข้าเป็นเด็กฝึก: 2012 (ผ่านออดิชันของ SM Japan)
ยูตะ,เป็นเมมเบอร์ชาวญี่ปุ่นคนแรกของ SM Entertainment
ยูตะ,ไม่ชอบที่แคบ
ยูตะ,เจ้าชายโอซาก้า เจ้าชายทาโกยากิ
ยูตะ,เคยฝันว่าอยากเป็นนักฟุตบอล
ยูตะ,แสดงภาพยนต์ HiGH&LOW THE WORST X (CROSS)
ยูตะ,โซโล่เดบิวต์ที่ญี่ปุ่น
โดยอง,เป็นสมาชิกของ nct127
โดยอง,เป็นสมาชิกของ nct u
โดยอง,เป็นสมาชิกของ nct 
โดยอง,เป็นสมาชิกของ NCT DOJAEJUNG
โดยอง,"เดบิวต์วันที่ 9 เมษายน 2016 กับ nct u ด้วยซิงเกิ้ลแรก ""The 7th Sense"""
โดยอง,ชื่อจริง : Kim Dong Young (김동영) (คิม ดงยอง)
โดยอง,เกิดวันที่ 1 กุมภาพันธ์ 1996
โดยอง,ตำแหน่ง : นักร้องหลัก
โดยอง,เกิดที่กรุงโซล เกาหลีใต้
โดยอง,"อาหารที่ชอบคือ ขนมปังครีมชีส , แตงโม , ป๊อปคอร์น , ขนมที่มีรสมะม่วง , 
พีช , ไวท์ ช็อกโกแลต และหม้อไฟ"
โดยอง,ศิลปินที่ชอบคือ Eric Benet
โดยอง,เคยเป็นพิธีกรรายการของโรงเรียนตอนมัธยม
โดยอง,ปีที่เข้าเป็นเด็กฝึก: 2013
โดยอง,เป็นเมมเบอร์ที่ถูกเพิ่มเข้ามาใน NCT 127 หลังเดบิวต์
โดยอง,เป็นหนึ่งในเมมเบอร์ที่ได้เดบิวต์เร็วที่สุดของ NCT
โดยอง,เป็นเมมเบอร์ที่โดดเด่นเรื่องเสียงร้องมากที่สุดของวง
โดยอง,เคยเป็นพิธีกรรายการเพลง: Inkigayo (2017-2018)
โดยอง,"เป็นนักแสดงละครเวทีเรื่อง ""Marie Antoinette"" (2021)"
โดยอง,"เคยเล่นซีรีส์เรื่อง ""Dear X Who Doesn’t Love Me"" (2022)"
โดยอง,อาหารที่ไม่ชอบ: แตงกวา
โดยอง,อากุงปัง
โดยอง,มีอัลบั้มเดี่ยวอัลบั้มแรก ‘YOUTH’ 
แจฮยอน,เป็นสมาชิกของ nct127
แจฮยอน,เป็นสมาชิกของ nct u
แจฮยอน,เป็นสมาชิกของ nct 
แจฮยอน,เป็นสมาชิกของ NCT DOJAEJUNG
แจฮยอน,"เดบิวต์วันที่ 9 เมษายน 2016 กับ nct u ด้วยซิงเกิ้ลแรก ""The 7th Sense"""
แจฮยอน,ชื่อจริง : Jung Yoon Oh (정윤오) (จอง ยุนโอ)
แจฮยอน,เกิดวันที่ 14 กุมภาพันธ์ 1997
แจฮยอน,"ตำแหน่ง : นักร้องหลัก , นักเต้นนำ , แร็ปเปอร์เสริม และภาพลักษณ์ของวง"
แจฮยอน,เกิดที่กรุงโซล เกาหลีใต้
แจฮยอน,เรียนที่ Seoul School of Performing Arts
แจฮยอน,"อาหารที่ชอบของแจฮยอน ได้แก่ เนื้อ , หมูที่มีรสเผ็ด , พีช และไอศกรีมชาเขียว"
แจฮยอน,ศิลปินคนโปรดคือ IU
แจฮยอน,วาเลนไทน์บอย
แจฮยอน,ปีที่เข้าเป็นเด็กฝึก: 2013
แจฮยอน,Prince of NCT
แจฮยอน,เคยเป็นพิธีกรรายการ Inkigayo (2019-2021)
แจฮยอน,"เคยคัฟเวอร์เพลง ""I Like Me Better"" ของ Lauv"
แจฮยอน,"เป็นนักแสดงในซีรีส์ ""Dear M"" (2024)"
แจฮยอน,อาหารที่ชอบ: อาหารเกาหลีทุกอย่าง โดยเฉพาะเนื้อย่าง
แจฮยอน,เคยได้รับเลือกให้เป็น Global Ambassador ของ PRADA